Hash Implementation,LoadFactor,Iteration,Avg Contains (hit), Avg Contains (miss), Avg Remove, Avg Add
Linear Probing,0.1,0,0.524,0.286,9.398,0.157,10009.0
Linear Probing,0.1,1,0.203,0.111,0.156,0.288,10009.0
Linear Probing,0.1,2,14.743,0.259,0.443,0.066,10009.0
Linear Probing,0.1,3,0.185,0.122,0.087,0.034,10009.0
Linear Probing,0.1,4,0.228,0.103,0.114,0.075,10009.0
Linear Probing,0.3,0,20.307,0.494,0.669,0.126,10009.0
Linear Probing,0.3,1,0.162,0.089,0.101,0.07,10009.0
Linear Probing,0.3,2,0.126,0.122,0.098,0.047,10009.0
Linear Probing,0.3,3,0.095,0.154,0.069,0.096,10009.0
Linear Probing,0.3,4,0.061,0.066,0.086,0.049,10009.0
Linear Probing,0.5,0,0.455,0.131,1.018,0.118,10009.0
Linear Probing,0.5,1,0.083,0.071,0.12,0.044,10009.0
Linear Probing,0.5,2,0.087,0.089,0.119,0.077,10009.0
Linear Probing,0.5,3,0.068,0.064,0.092,0.052,10009.0
Linear Probing,0.5,4,0.099,0.053,0.072,0.101,10009.0
Linear Probing,0.7,0,0.119,0.135,0.371,0.166,10009.0
Linear Probing,0.7,1,0.105,0.167,0.178,0.082,10009.0
Linear Probing,0.7,2,0.079,0.073,0.129,0.06,10009.0
Linear Probing,0.7,3,0.069,0.068,0.121,0.056,10009.0
Linear Probing,0.7,4,0.068,0.078,0.154,0.058,10009.0
Linear Probing,0.9,0,0.177,0.425,0.118,0.086,10009.0
Linear Probing,0.9,1,0.118,0.415,57.471,0.168,10009.0
Linear Probing,0.9,2,0.159,0.169,0.12,0.069,10009.0
Linear Probing,0.9,3,0.11,0.186,0.153,0.086,10009.0
Linear Probing,0.9,4,0.079,0.159,0.114,0.068,10009.0
Quadratic Probing,0.1,0,0.526,0.24,1.496,0.104,10009.0
Quadratic Probing,0.1,1,0.053,0.064,0.104,0.056,10009.0
Quadratic Probing,0.1,2,0.202,0.223,0.462,0.159,10009.0
Quadratic Probing,0.1,3,0.089,0.093,0.167,0.12,10009.0
Quadratic Probing,0.1,4,0.048,0.045,1.252,0.256,10009.0
Quadratic Probing,0.3,0,0.182,1.48,0.279,0.059,10009.0
Quadratic Probing,0.3,1,0.055,0.057,0.108,0.049,10009.0
Quadratic Probing,0.3,2,0.122,0.11,0.123,0.083,10009.0
Quadratic Probing,0.3,3,0.055,0.055,0.116,0.052,10009.0
Quadratic Probing,0.3,4,0.074,0.058,0.101,0.054,10009.0
Quadratic Probing,0.5,0,0.122,0.097,13.25,0.598,10009.0
Quadratic Probing,0.5,1,0.086,0.088,0.137,0.081,10009.0
Quadratic Probing,0.5,2,0.083,0.086,0.141,0.077,10009.0
Quadratic Probing,0.5,3,0.062,0.062,0.108,0.052,10009.0
Quadratic Probing,0.5,4,0.172,0.178,0.226,0.339,10009.0
Quadratic Probing,0.7,0,0.1,0.103,0.136,0.085,10009.0
Quadratic Probing,0.7,1,0.066,0.077,0.829,0.064,10009.0
Quadratic Probing,0.7,2,0.147,0.127,0.179,0.136,10009.0
Quadratic Probing,0.7,3,0.071,0.064,0.133,0.055,10009.0
Quadratic Probing,0.7,4,0.066,0.072,0.235,0.063,10009.0
Quadratic Probing,0.9,0,0.145,0.13,0.155,0.084,10009.0
Quadratic Probing,0.9,1,0.206,0.565,0.143,0.068,10009.0
Quadratic Probing,0.9,2,0.078,0.096,0.748,0.081,10009.0
Quadratic Probing,0.9,3,0.132,0.17,0.238,0.163,10009.0
Quadratic Probing,0.9,4,0.136,0.106,0.166,0.074,10009.0
LinkedList,0.1,0,0.662,0.138,0.592,0.306,10009.0
LinkedList,0.1,1,0.107,0.028,0.113,0.069,10009.0
LinkedList,0.1,2,0.132,0.03,0.091,0.064,10009.0
LinkedList,0.1,3,0.135,0.031,0.111,0.086,10009.0
LinkedList,0.1,4,0.114,0.035,0.223,0.147,10009.0
